OID_,IN_FID,Cnt_IN_FID,Ave_COUNT
,0,8,6.000000000000000
,1,8,3.500000000000000
,2,8,2.000000000000000
,3,8,0.875000000000000
,4,8,0.125000000000000
,5,8,0.000000000000000
,6,8,0.000000000000000
,7,8,0.000000000000000
,8,8,0.000000000000000
,9,8,0.000000000000000
,10,8,0.750000000000000
,11,8,1.750000000000000
,12,8,1.625000000000000
,13,8,2.125000000000000
,14,8,3.125000000000000
,15,8,1.625000000000000
,16,8,6.750000000000000
,17,8,6.000000000000000
,18,8,9.625000000000000
,19,8,12.750000000000000
,20,8,9.250000000000000
,21,8,5.250000000000000
,22,8,0.125000000000000
,23,8,0.000000000000000
,24,8,0.000000000000000
,25,8,0.000000000000000
,26,8,0.250000000000000
,27,8,1.625000000000000
,28,8,3.375000000000000
,29,8,3.250000000000000
,30,8,2.500000000000000
,31,8,1.625000000000000
,32,8,0.875000000000000
,33,8,3.875000000000000
,34,8,2.375000000000000
,35,8,3.250000000000000
,36,8,2.500000000000000
,37,8,6.875000000000000
,38,8,5.375000000000000
,39,8,8.375000000000000
,40,8,10.750000000000000
,41,8,5.250000000000000
,42,8,5.625000000000000
,43,8,0.125000000000000
,44,8,0.000000000000000
,45,8,0.000000000000000
,46,8,0.125000000000000
,47,8,0.500000000000000
,48,8,2.250000000000000
,49,8,2.750000000000000
,50,8,3.875000000000000
,51,8,1.875000000000000
,52,8,1.625000000000000
,53,8,1.125000000000000
,54,8,2.750000000000000
,55,8,3.125000000000000
,56,8,3.125000000000000
,57,8,2.375000000000000
,58,8,3.375000000000000
,59,8,5.750000000000000
,60,8,9.375000000000000
,61,8,13.125000000000000
,62,8,9.750000000000000
,63,8,5.750000000000000
,64,8,0.125000000000000
,65,8,0.000000000000000
,66,8,0.000000000000000
,67,8,0.500000000000000
,68,8,1.125000000000000
,69,8,3.000000000000000
,70,8,2.500000000000000
,71,8,2.875000000000000
,72,8,1.000000000000000
,73,8,0.500000000000000
,74,8,1.250000000000000
,75,8,5.125000000000000
,76,8,6.250000000000000
,77,8,7.375000000000000
,78,8,5.125000000000000
,79,8,3.125000000000000
,80,8,2.125000000000000
,81,8,1.625000000000000
,82,8,1.750000000000000
,83,8,1.125000000000000
,84,8,0.500000000000000
,85,8,0.000000000000000
,86,8,0.000000000000000
,87,8,0.000000000000000
,88,8,0.500000000000000
,89,8,0.625000000000000
,90,8,1.500000000000000
,91,8,1.250000000000000
,92,8,0.875000000000000
,93,8,0.000000000000000
,94,8,0.000000000000000
,95,8,0.000000000000000
,96,8,5.125000000000000
,97,8,3.250000000000000
,98,8,3.750000000000000
,99,8,7.625000000000000
,100,8,8.375000000000000
,101,8,10.500000000000000
,102,8,8.500000000000000
,103,8,7.375000000000000
,104,8,4.625000000000000
,105,8,2.000000000000000
,106,8,0.000000000000000
,107,8,0.000000000000000
,108,8,0.000000000000000
,109,8,0.125000000000000
,110,8,0.125000000000000
,111,8,0.125000000000000
,112,8,0.375000000000000
,113,8,0.750000000000000
,114,8,1.000000000000000
,115,8,0.500000000000000
,116,8,0.250000000000000
,117,8,0.000000000000000
,118,8,0.000000000000000
,119,8,0.000000000000000
,120,8,5.000000000000000
,121,8,4.500000000000000
,122,8,6.125000000000000
,123,8,9.250000000000000
,124,8,11.375000000000000
,125,8,14.250000000000000
,126,8,14.125000000000000
,127,8,10.750000000000000
,128,8,5.625000000000000
